Name,Location
능엄사,울산시 울주군 온산읍 덕신리 산 83-1
능인선원,서울시 강남구 개포4동 1168-3 대림빌딩 5층
능인암,경기도 오산시 원동 613-5 중앙시티윌 3-6
능인정사,경북 영주시 휴천1동 162-3
능인정사,경기도 남양주시 진접읍 내각리 256-7 동아빌라 7동 204호
다보사,부산광역시 북구 구포3동 1227-14 2층
다인사,서울시 서초구 방배1동 899-4
다인사,경남 창원시 팔용동 193-6 서상상가 202호
다인사,강원도 춘천시 서면 안보리 181-9
달마사,"서울시 동작구 사당로16길 82, 3층"
달마사,제주시 연동 271-24
달마사,부산시 진구 초읍동 54-8
달마사,서울시 동작구 흑석동 산 60-29
달마선원,제주도 제주시 연동 271-24
달마선원,서울 은평구 불광동 274-11
달마정사,충남 논산시 상월면 산성리 106번지
대각사,전북 남원시 금동 415-1
대각사,경북 영주시 장수면 반구2리 38번지
대각사,강원도 원주시 부론면 손곡3리 597-1
대각사,경기도 양평군 서종면 노문리 산36-1
대광사,경북 경주시 동방동 108-3번지 11/1
대광사,경북 고령군 다산면 벌지리 92
대광사,부산시 진구 개금2동 고원@7동 504호
대국사,경기도 고양시 덕양구 관산동 543-8
대국사,경북 청도군 금천면 사전리 산 7번지
대덕사,인천시 부평구 부개1동 259-16 2층
대덕사,부산시 영도구 영선2가 207-1
대덕사,경기도 고양시 덕양구 현천동 297-5
대명사,전남 고흥군 도양읍 용정리 294-9
대명사 포교원,전남 보성군 벌교읍 지동리 284-2
대명정사,제주시 연동 272-21
대복정사,충북 진천군 이월면 동성리 466
대비사,충청북도 단양군 적성면 상학1길 232
대비사,충청북도 단양군 적성면 상학1길 233
대성사,경상북도 성주군 월항면 용각길 253-62
대성사,충남 논산시 연무읍 금곡2동 70
대성사,경기도 평택시 고덕면 두릉1리 156
대성사,"경기도 파주시,읍 파주리 522-1"
대승사,충남 연기군 소정면 운당리 266-2
대양사,경북 포항시 북구 흥해읍 매산리 588-48
대운사,울산광역시 동구 옥류로 67
대원사,강원도 영월군 주천면 금마리 1156
대원사,전남 광양시 옥곡면 신금리 525-9
대원사,충남 계룡시 엄사면 엄사리 122-2
대원사,충남 아산시 배방면 세교 2구 221-7 (대원사)
대원사,경기도 수원시 장안구 파장동 208-16
대원사,경기도 동두천시 상패동 3-14
대원사,서울시 서초구 방배2동 2633번지
대원암,부산광역시 금정구 청룡동 42-8
대원암,경기도 평택시 청북면 한산1리 708번지
대원암,울산시 울주군 온양읍 내광리 62-1
대원정사,경북 영천시 신녕면 화남2리 1247
대원정사,제주도 서귀포시 성산읍 시흥리 864-1
대원정사,전남 곡성군 오곡면 구성리 519
대원청사,경북 영천시 신녕면 화남2리 1247번지
대자암,충남 공주시 계룡면 중장리 52
대자원,부산시 부산진구 부전1동 261-11
덕산사,서울 관악구 신림9동 251-362
덕산사,제주도 제주시 오등동 1375-2
덕산정사,경북 예천군 풍양면 낙상리 3-4
덕선사,강원도 양구군 양구읍 상3리
덕수사,전남 무안군 삼향읍 지산리 616-9
덕암사,경북 군위군 효령면 마시2리 419번지
덕운사(창건주),경북 경산시 백천1동 271번지
덕원사,경기도 고양시 덕양구 대자동 351-6
덕원사,경기도 안성시 금광면 오산리 390번지
덕은사,울산광역시 울주군 언양읍 다개리 36번지
덕인사,부산시 사상구 감전1동 122-54
덕천사,전북 남원시 주생면 영천리 137번지 67-19
덕천사,전북 남원시 용정동 28번지
덕혜암,경기도 가평군 설악면 묵안2리 407번지
도광사,부산광역시 남구 문현3동 311-7
도광사,부산시 사상구 덕포2동 362-3
도림사,경북 상주시 서곡동 334-2
도림사,부산시 진구 초읍동 102-11(171-16)
도명사,울산광역시 울주군 언양읍 반천리 981
도불암(경덕거사),경남 진해시 태백동 12-63
도성사,경기도 부천시 오정구 고강동 419-12
도솔사,서울시 노원구 상계4동 111-4 302호
도솔암,전남 해남군 송지면 마봉리 달마산
도솔암,경남 마산시 합포구 진전면 일암리 산 142-1
도솔암,부산시 서구 동대신동 2가 48번지
도솔정사,"경남 사천시,읍 사주리 24-17"
도안사,대전시 동구 가양2동 147-2
도암사,부산시 기장군 정관면 월평리 246
도연사,경기도 화성시 송산면 삼존리 산96번지
도운정사,서울시 동대문구 장안1동 428-14
도운정사,경기 안양시 만안구 안양5동 709-17
도운정사,경북 안동시 서후면 이개2동 220번지
도운정사,경기도 안양시 만안구 안양5동 709-17
도현사,서울시 서초구 양재2동 280-8
도흥사,충남 보령시 미산면 도흥길 207-30
